corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,protocol_version,phase
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,isolation_forest,4,0.5189003436426117,0.9898033503277496,0.6808617234468937,0.9891107574753164,0.6773360395793437,0.0476334492665961,0.2598696000004565,0.273952300000019,0.5338219000004756,592.72265625,2030911,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,one_class_svm,0,0.3355327468230694,1.0,0.5024702653247941,0.9897947046190884,0.7195824954485244,0.1027899591713292,0.0836798999989696,0.9235793000007106,1.0072591999996805,593.125,35290,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,one_class_svm,1,0.3490086426029486,1.0,0.5174298096853213,0.9898467716097836,0.7204249397276316,0.0968168758505973,0.1007376999987172,0.975355700000364,1.0760933999990812,592.94140625,34506,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,one_class_svm,2,0.3378444881889764,1.0,0.5050579363619643,0.9898499793329016,0.7205534707463644,0.1017314380765159,0.0879721000001154,1.2919964000011532,1.3799685000012687,586.43359375,34634,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,one_class_svm,3,0.3166512915129151,1.0,0.4809949203012787,0.9898056907265907,0.7196470442511222,0.1120142144261303,0.0828629999996337,1.1981899999991583,1.281052999998792,591.44140625,34634,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,one_class_svm,4,0.340272614622057,1.0,0.5077662721893491,0.989847542564696,0.7204315667355609,0.1006351126568879,0.1079307999989396,1.084158399999069,1.1920891999980086,590.984375,34106,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,lof,0,0.3295727316370619,1.0,0.4957573569236324,0.9921116168697712,0.6980921030126103,0.1055874792076213,1.2017075000003388,4.4908580999999685,5.692565600000307,593.24609375,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,lof,1,0.3621735689791612,1.0,0.5317583268783889,0.9915776204564736,0.6868517827848774,0.0914108574020867,1.0379668999994465,4.714509699999326,5.752476599998772,595.36328125,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,lof,2,0.3369325153374233,1.0,0.5040381791483113,0.9919153262422368,0.6943403510414019,0.1021472856494783,0.8254558999997244,4.081955199999356,4.907411099999081,593.26953125,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,lof,3,0.3600839234198794,1.0,0.5295025067489395,0.9913551999642276,0.6829055025815539,0.0922425525480114,0.849590799998623,1.7654292000006535,2.6150199999992765,595.4296875,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,lof,4,0.3729964683509916,1.0,0.5433320142461416,0.9915011857837236,0.6869565561828619,0.0872523816724633,0.3569257999988622,1.719417300000714,2.076343099999576,595.140625,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,hbos,0,0.3862224731789949,0.9963583394027676,0.5566632756866734,0.991388846639336,0.7975718016510704,0.0821866021472856,0.0042223000000376,0.0072182999992946,0.0114405999993323,595.29296875,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,hbos,1,0.3862224731789949,0.9963583394027676,0.5566632756866734,0.991388846639336,0.7975718016510704,0.0821866021472856,0.0046371999997063,0.0070968999989418,0.0117340999986481,587.15234375,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,hbos,2,0.3862224731789949,0.9963583394027676,0.5566632756866734,0.991388846639336,0.7975718016510704,0.0821866021472856,0.0040174000005208,0.0070410999996965,0.0110585000002174,588.765625,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,hbos,3,0.3862224731789949,0.9963583394027676,0.5566632756866734,0.991388846639336,0.7975718016510704,0.0821866021472856,0.0046662999993714,0.006332700000712,0.0109990000000834,588.765625,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,hbos,4,0.3862224731789949,0.9963583394027676,0.5566632756866734,0.991388846639336,0.7975718016510704,0.0821866021472856,0.0040064000004349,0.007801499999914,0.011807900000349,588.765625,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,elliptic_envelope,0,0.4203919167176975,1.0,0.591937917654667,0.990711149737176,0.665386880699311,0.0715635868743384,0.2051693000012164,0.0042021999997814,0.2093715000009979,592.2890625,66831,pre_injection_v1,C
